,name,parents
273,diversity-1pagerank-2peel0degree1,pagerank-2peel0degree1
274,diversity0pagerank-2peel0degree1,pagerank-2peel0degree1
275,diversity0pagerank0peel0degree1,pagerank0peel0degree1
276,diversity-2pagerank0peel0degree1,pagerank0peel0degree1
277,diversity-1pagerank0peel0degree1,pagerank0peel0degree1
278,diversity-1pagerank-1peel0degree1,pagerank-1peel0degree1
279,diversity1pagerank-1peel0degree1,pagerank-1peel0degree1
280,diversity-1pagerank1peel0degree1,pagerank1peel0degree1
281,diversity0pagerank1peel0degree1,pagerank1peel0degree1
282,diversity0pagerank0peel-2degree1,pagerank0peel-2degree1
283,diversity0pagerank-1peel-3degree1,pagerank-1peel-3degree1
284,diversity0pagerank0peel-3degree1,pagerank0peel-3degree1
285,diversity0pagerank-1peel1degree1,pagerank-1peel1degree1
286,diversity0pagerank0peel1degree1,pagerank0peel1degree1
287,diversity0pagerank0peel0degree6,pagerank0peel0degree6
288,diversity0pagerank-1peel0degree6,pagerank-1peel0degree6
289,diversity0pagerank0peel0degree2,pagerank0peel0degree2
290,diversity-1pagerank0peel0degree2,pagerank0peel0degree2
291,diversity0pagerank1peel0degree2,pagerank1peel0degree2
292,diversity-1pagerank1peel0degree2,pagerank1peel0degree2
293,diversity0pagerank-2peel0degree2,pagerank-2peel0degree2
294,diversity-1pagerank-1peel0degree2,pagerank-1peel0degree2
295,diversity0pagerank-1peel0degree2,pagerank-1peel0degree2
296,diversity0pagerank-1peel-2degree2,pagerank-1peel-2degree2
297,diversity-1pagerank-1peel-2degree2,pagerank-1peel-2degree2
298,diversity0pagerank1peel-2degree2,pagerank1peel-2degree2
299,diversity0pagerank0peel-2degree3,pagerank0peel-2degree3
300,diversity0pagerank0peel0degree3,pagerank0peel0degree3
301,diversity0pagerank-1peel0degree3,pagerank-1peel0degree3
302,diversity0pagerank-2peel0degree5,pagerank-2peel0degree5
303,diversity0pagerank1peel0degree5,pagerank1peel0degree5
304,diversity0pagerank0peel0degree5,pagerank0peel0degree5
305,diversity0pagerank-1peel0degree5,pagerank-1peel0degree5
306,diversity0pagerank0peel-2degree5,pagerank0peel-2degree5
307,diversity0pagerank0peel0degree7,pagerank0peel0degree7
308,diversity0pagerank-1peel0degree7,pagerank-1peel0degree7
309,diversity0pagerank0peel0degree4,pagerank0peel0degree4
310,diversity0pagerank-1peel0degree4,pagerank-1peel0degree4
311,diversity0pagerank0peel-2degree4,pagerank0peel-2degree4
312,diversity0pagerank0peel0degree8,pagerank0peel0degree8
313,diversity0pagerank0peel0degree9,pagerank0peel0degree9
314,betweenness0diversity-1pagerank-2peel1degree0,diversity-1pagerank-2peel1degree0
315,betweenness0diversity0pagerank-2peel1degree0,diversity0pagerank-2peel1degree0
316,betweenness0diversity0pagerank1peel1degree0,diversity0pagerank1peel1degree0
317,betweenness0diversity-2pagerank0peel1degree0,diversity-2pagerank0peel1degree0
318,betweenness-1diversity0pagerank0peel1degree0,diversity0pagerank0peel1degree0
319,betweenness1diversity0pagerank0peel1degree0,diversity0pagerank0peel1degree0
320,betweenness0diversity-1pagerank0peel1degree0,diversity-1pagerank0peel1degree0
321,betweenness0diversity-1pagerank-1peel1degree0,diversity-1pagerank-1peel1degree0
322,betweenness-1diversity0pagerank-1peel1degree0,diversity0pagerank-1peel1degree0
323,betweenness0diversity0pagerank-1peel1degree0,diversity0pagerank-1peel1degree0
324,betweenness0diversity-2pagerank-1peel1degree0,diversity-2pagerank-1peel1degree0
325,betweenness0diversity0pagerank2peel1degree0,diversity0pagerank2peel1degree0
326,betweenness1diversity-1pagerank-1peel-2degree0,diversity-1pagerank-1peel-2degree0
327,betweenness-1diversity-1pagerank-1peel-2degree0,diversity-1pagerank-1peel-2degree0
328,betweenness-1diversity0pagerank-1peel-2degree0,diversity0pagerank-1peel-2degree0
329,betweenness1diversity0pagerank-1peel-2degree0,diversity0pagerank-1peel-2degree0
330,betweenness0diversity-3pagerank-1peel-2degree0,diversity-3pagerank-1peel-2degree0
331,betweenness-1diversity1pagerank-1peel-2degree0,diversity1pagerank-1peel-2degree0
332,betweenness0diversity1pagerank-1peel-2degree0,diversity1pagerank-1peel-2degree0
333,betweenness0diversity-1pagerank2peel-2degree0,diversity-1pagerank2peel-2degree0
334,betweenness0diversity0pagerank2peel-2degree0,diversity0pagerank2peel-2degree0
335,betweenness0diversity-1pagerank0peel-2degree0,diversity-1pagerank0peel-2degree0
336,betweenness0diversity0pagerank0peel-2degree0,diversity0pagerank0peel-2degree0
337,betweenness1diversity1pagerank0peel-1degree0,diversity1pagerank0peel-1degree0
338,betweenness-1diversity1pagerank0peel-1degree0,diversity1pagerank0peel-1degree0
339,betweenness-2diversity-1pagerank0peel-1degree0,diversity-1pagerank0peel-1degree0
340,betweenness0diversity-1pagerank0peel-1degree0,diversity-1pagerank0peel-1degree0
341,betweenness-1diversity-1pagerank0peel-1degree0,diversity-1pagerank0peel-1degree0
342,betweenness-1diversity0pagerank0peel-1degree0,diversity0pagerank0peel-1degree0
343,betweenness0diversity0pagerank0peel-1degree0,diversity0pagerank0peel-1degree0
344,betweenness0diversity-2pagerank0peel-1degree0,diversity-2pagerank0peel-1degree0
345,betweenness0diversity0pagerank-1peel-1degree0,diversity0pagerank-1peel-1degree0
346,betweenness1diversity0pagerank-1peel-1degree0,diversity0pagerank-1peel-1degree0
347,betweenness-1diversity0pagerank-1peel-1degree0,diversity0pagerank-1peel-1degree0
348,betweenness-2diversity0pagerank-1peel-1degree0,diversity0pagerank-1peel-1degree0
349,betweenness-1diversity-1pagerank-1peel-1degree0,diversity-1pagerank-1peel-1degree0
350,betweenness1diversity-1pagerank-1peel-1degree0,diversity-1pagerank-1peel-1degree0
351,betweenness0diversity-3pagerank-1peel-1degree0,diversity-3pagerank-1peel-1degree0
352,betweenness1diversity-2pagerank-1peel-1degree0,diversity-2pagerank-1peel-1degree0
353,betweenness-1diversity-2pagerank-1peel-1degree0,diversity-2pagerank-1peel-1degree0
354,betweenness-1diversity1pagerank-1peel-1degree0,diversity1pagerank-1peel-1degree0
355,betweenness1diversity1pagerank-1peel-1degree0,diversity1pagerank-1peel-1degree0
356,betweenness0diversity1pagerank-1peel-1degree0,diversity1pagerank-1peel-1degree0
357,betweenness0diversity-3pagerank1peel-1degree0,diversity-3pagerank1peel-1degree0
358,betweenness0diversity1pagerank1peel-1degree0,diversity1pagerank1peel-1degree0
359,betweenness1diversity0pagerank1peel-1degree0,diversity0pagerank1peel-1degree0
360,betweenness-1diversity0pagerank1peel-1degree0,diversity0pagerank1peel-1degree0
361,betweenness0diversity-1pagerank1peel-1degree0,diversity-1pagerank1peel-1degree0
362,betweenness0diversity0pagerank-2peel-1degree0,diversity0pagerank-2peel-1degree0
363,betweenness-1diversity0pagerank-2peel-1degree0,diversity0pagerank-2peel-1degree0
364,betweenness0diversity1pagerank-2peel-1degree0,diversity1pagerank-2peel-1degree0
365,betweenness0diversity-2pagerank-2peel-1degree0,diversity-2pagerank-2peel-1degree0
366,betweenness0diversity-1pagerank-2peel-1degree0,diversity-1pagerank-2peel-1degree0
367,betweenness0diversity0pagerank3peel-1degree0,diversity0pagerank3peel-1degree0
368,betweenness0diversity0pagerank2peel-1degree0,diversity0pagerank2peel-1degree0
369,betweenness-1diversity-2pagerank-1peel0degree0,diversity-2pagerank-1peel0degree0
370,betweenness1diversity-2pagerank-1peel0degree0,diversity-2pagerank-1peel0degree0
371,betweenness1diversity0pagerank-1peel0degree0,diversity0pagerank-1peel0degree0
372,betweenness-1diversity0pagerank-1peel0degree0,diversity0pagerank-1peel0degree0
373,betweenness-1diversity1pagerank-1peel0degree0,diversity1pagerank-1peel0degree0
374,betweenness0diversity1pagerank-1peel0degree0,diversity1pagerank-1peel0degree0
375,betweenness0diversity-1pagerank-1peel0degree0,diversity-1pagerank-1peel0degree0
376,betweenness-1diversity-1pagerank-1peel0degree0,diversity-1pagerank-1peel0degree0
377,betweenness1diversity0pagerank0peel0degree0,diversity0pagerank0peel0degree0
378,betweenness-2diversity0pagerank0peel0degree0,diversity0pagerank0peel0degree0
